task,language,outcome
ComprehendFM,a,.100
ComprehendFM,a,.86
ComprehendFM,a,.71
ComprehendFM,a,.100
ComprehendFM,a,.71
ComprehendFM,a,.93
ComprehendFM,a,.79
ComprehendFM,a,.7
ComprehendFM,a,.0
ComprehendFM,a,.79
ComprehendFM,a,.71
ComprehendFM,a,.36
ComprehendFM,a,.21
ComprehendFM,q,.14
ComprehendFM,q,.100
ComprehendFM,q,.100
ComprehendFM,q,.100
ComprehendFM,q,.100
ComprehendFM,q,.100
ComprehendFM,q,.64
ComprehendFM,q,.100
ComprehendFM,q,.71
ComprehendFM,q,.100
ComprehendFM,q,.36
ComprehendFM,q,.79
ComprehendFM,q,.100
ComprehendFM,x,.93
ComprehendFM,x,
ComprehendFM,x,.100
ComprehendFM,x,.0
ComprehendFM,x,.0
ComprehendFM,x,.100
ComprehendFM,x,.43
ComprehendFM,x,.100
ComprehendFM,x,.71
ComprehendFM,x,.100
ComprehendFM,x,.64
ComprehendFM,x,.71
ComprehendRE,a,.36
ComprehendRE,a,.0
ComprehendRE,a,.64
ComprehendRE,a,.0
ComprehendRE,a,.100
ComprehendRE,a,.0
ComprehendRE,a,.50
ComprehendRE,a,.93
ComprehendRE,a,.29
ComprehendRE,a,.36
ComprehendRE,a,.36
ComprehendRE,a,.71
ComprehendRE,a,.29
ComprehendRE,q,.71
ComprehendRE,q,.36
ComprehendRE,q,.86
ComprehendRE,q,.43
ComprehendRE,q,.29
ComprehendRE,q,.14
ComprehendRE,q,.36
ComprehendRE,q,.50
ComprehendRE,q,.0
ComprehendRE,q,.86
ComprehendRE,q,.100
ComprehendRE,q,.64
ComprehendRE,q,.100
ComprehendRE,x,.93
ComprehendRE,x,.0
ComprehendRE,x,.71
ComprehendRE,x,.86
ComprehendRE,x,.21
ComprehendRE,x,.14
ComprehendRE,x,.0
ComprehendRE,x,.14
ComprehendRE,x,.93
ComprehendRE,x,.36
ComprehendRE,x,.79
ComprehendRE,x,.36
ComprehendRE,x,.21
ComprehendRE,x,.7
ChangeFM,a,.75
ChangeFM,a,.0
ChangeFM,a,.0
ChangeFM,a,.100
ChangeFM,a,.100
ChangeFM,a,.100
ChangeFM,a,.100
ChangeFM,a,.63
ChangeFM,a,.0
ChangeFM,a,.100
ChangeFM,a,.75
ChangeFM,a,.0
ChangeFM,a,.0
ChangeFM,q,.0
ChangeFM,q,.100
ChangeFM,q,.100
ChangeFM,q,.100
ChangeFM,q,.100
ChangeFM,q,.100
ChangeFM,q,.75
ChangeFM,q,.100
ChangeFM,q,.75
ChangeFM,q,.100
ChangeFM,q,.100
ChangeFM,q,.100
ChangeFM,q,.100
ChangeFM,x,.100
ChangeFM,x,.50
ChangeFM,x,.100
ChangeFM,x,.50
ChangeFM,x,.0
ChangeFM,x,.100
ChangeFM,x,.100
ChangeFM,x,.0
ChangeFM,x,.0
ChangeFM,x,.75
ChangeFM,x,.75
ChangeFM,x,.100
ChangeRE,a,.0
ChangeRE,a,.0
ChangeRE,a,.0
ChangeRE,a,.0
ChangeRE,a,.75
ChangeRE,a,.0
ChangeRE,a,.38
ChangeRE,a,.50
ChangeRE,a,.0
ChangeRE,a,.38
ChangeRE,a,.25
ChangeRE,a,.63
